year,all,food,alc_tobacco,clothes,housing_energy,energy,transportation
2015,33763.0,3721.0,1014.0,1591.0,10646.0,1582.0,4351.0
2020,35211.0,4458.0,1222.0,1394.0,11577.0,1540.0,3955.0
